ID_Candidate,firstname,lastname,gender,city,district,group
47712,Irène,Donzé,f,Les Breuleux,Jura,FDP/PLR
47713,Anael,Lovis,m,Les Genevez,Jura,FDP/PLR
47714,Anne,Sulliger,f,Vendlincourt,Jura,FDP/PLR
47715,Gaëtane,Voirol,f,Porrentruy,Jura,FDP/PLR
47716,Nicolas,Kocher,m,Delémont,Jura,FDP/PLR
47717,Ernest,Gerber,m,Cornol,Jura,FDP/PLR
47719,Markus,Liebi,m,Oberhof,Aargau,SVP/UDC
47720,Fabienne-Alina,Freiermuth,f,Zeiningen,Aargau,SVP/UDC
47721,Svenja,Schmid,f,Hägglingen,Aargau,SVP/UDC
47722,Marc,Kaufmann,m,Stein,Aargau,SVP/UDC
47723,Raphael,Ryser,m,Murgenthal,Aargau,SVP/UDC
47724,Robin,Rast,m,Wettingen,Aargau,SVP/UDC
47725,Samuel,Hasler,m,Buchs AG,Aargau,SVP/UDC
47726,Alessandro,Gioiello,m,Brittau,Aargau,SVP/UDC
47727,Sandro,Wächter,m,Schinznach-Bad,Aargau,SVP/UDC
47728,Benjamin,Blülle,m,Berikon,Aargau,SVP/UDC
47729,Dominic,Bachofen,m,Künten,Aargau,SVP/UDC
47730,Yves,Blülle,m,Berikon,Aargau,SVP/UDC
47731,Patricio,Fröhli,m,Berikon,Aargau,SVP/UDC
47732,Joel,Stutz,m,Fahrwangen,Aargau,SVP/UDC
47733,Nina,Haas,f,Gebenstorf,Aargau,SVP/UDC
47734,Fiona,Kühne,f,Sirnach,Thurgau,CVP/PDC
47735,Petra,Merz,f,Weinfelden,Thurgau,CVP/PDC
47736,Maria,Näf,f,Weinfelden,Thurgau,CVP/PDC
47737,Lukas,Auer,m,Arbon,Thurgau,CVP/PDC
47738,Marc,Rüdisüli,m,Sirnach,Thurgau,CVP/PDC
47739,Ramona,Zülle,f,Kreuzlingen,Thurgau,CVP/PDC
47740,Caroline,Ingold,f,Riederalp,Wallis,GPS/PES
47741,Aaron,Heinzmann,m,Eyholz,Wallis,GPS/PES
47742,Marianne,Künzle,f,Birgisch,Wallis,GPS/PES
47743,Maggie,Loretan,f,Steg,Wallis,GPS/PES
47744,Roni,Vonmoos,m,Erschmatt,Wallis,GPS/PES
47745,Carmen,Jossen,f,Glis,Wallis,GPS/PES
47746,Brigitte,Wolf,f,Bitsch,Wallis,GPS/PES
47747,Jonas,Jossen,m,Susten,Wallis,GPS/PES
47748,Michel,Andrey,m,Sion,Wallis,GPS/PES
47749,Josiane,Antille,f,Bramois,Wallis,GPS/PES
47750,Marie,Blanchet,f,Vionnaz,Wallis,GPS/PES
47751,Christiane,Cipolla,f,Sembrancher,Wallis,GPS/PES
47752,Christian,Ducrey,m,Fully,Wallis,GPS/PES
